song,artist1,artist2,song_netease,artist_netease,mood_netease,spotify-id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_origin_1,artist_origin_2,artist_type_1,artist_type_2,artist_era_1,genre_1,genre_2,genre_3,mood_1,mood_2,tempo_1,tempo_2,tempo_3
阿修罗,王菲,Faye Wong,,,,2VMpXrCY96bCCBegu4t9L4,0.303,0.36,3,-12.206,1,0.0288,0.0752,0.0573,0.146,0.0634,143.744,297840,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Brooding',b'Dreamy Brooding',b'Medium Tempo',b'Medium',b'70s'
如果你是假的,王菲,Faye Wong,,,,33GH3QCldG1tW043yNwC8A,0.467,0.698,1,-6.97,1,0.0711,0.273,5.68e-06,0.138,0.762,166.376,237800,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Slow',b'40s'
不爱我的我不爱,王菲,Faye Wong,,,,7zOGVW2l4gzAh63DvHI6pE,0.465,0.393,7,-8.648,1,0.0285,0.221,0.000685,0.099,0.0733,84.926,260707,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Dramatic / Romantic',b'Slow Tempo',b'Very Slow',b'30s'
再见萤火虫,王菲,Faye Wong,再见萤火虫,王菲,兴奋/孤独,0k3BU0E93PD2A8AAc7ATKD,0.459,0.89,1,-4.882,0,0.0508,0.0198,1.14e-06,0.252,0.197,93.961,308200,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Urgent',b'Dark Pop Intensity',b'Medium Tempo',b'Medium Fast',b'90s'
四季圈,陈奕迅,Eason Chan,四季圈,陈奕迅,伤感/感动,3Cq7wxt55PwaMcX5wkBJAk,0.448,0.329,7,-12.323,1,0.0245,0.322,0.00717,0.0701,0.241,79.896,320613,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',,,,,
愚人快乐,陈奕迅,Eason Chan,愚人快乐,陈奕迅,兴奋/治愈,5ZUQlcP7sSwAeMXo1fNRjy,0.607,0.511,4,-11.391,1,0.0406,0.392,0.00239,0.0916,0.662,104.927,254120,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',,,,,
不如承诺来的简单,陈奕迅,Eason Chan,不如承诺来的简单,陈奕迅,伤感,1Z2WTT8ZKwHoFBfN3FhNqc,0.535,0.669,9,-8.758,0,0.0462,0.0429,0.00269,0.0822,0.0665,75.944,313867,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',,,,,
对面,陈奕迅,Eason Chan,对面,陈奕迅,怀旧/治愈,2QEC4fpsq6FiFlJvyhu5ST,0.527,0.497,11,-11.593,0,0.051,0.123,0.0057,0.12,0.294,140.035,289147,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',,,,,
放弃治疗,陈奕迅,Eason Chan,,,,3A7T1q2qLfpLNzEz8es43P,0.56,0.709,6,-7.736,0,0.032,0.295,0,0.19,0.641,129.956,256107,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',,,,,
时光隧道,陈奕迅,Eason Chan,时光隧道,陈奕迅,伤感,0BrJLNMjEeqvmu7Rq0iCrh,0.468,0.511,9,-9.285,0,0.0301,0.58,1.06e-06,0.0901,0.238,145.034,259200,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',,,,,
可以了,陈奕迅,Eason Chan,可以了,陈奕迅,伤感/孤独/治愈,4nBzR26lD5p0VXyElcjSVW,0.57,0.542,2,-7.652,0,0.0295,0.484,0,0.382,0.268,127.977,291960,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',,,,,
阴天快乐,陈奕迅,Eason Chan,阴天快乐,陈奕迅,伤感/思念,1WnTw4Tzpc5q9dHMjs4aHu,0.549,0.64,6,-7.483,1,0.0304,0.323,0,0.0837,0.423,130.034,261480,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',,,,,
你给我听好,陈奕迅,Eason Chan,你给我听好,陈奕迅,伤感/治愈,1hzG75FpGksAvkeSg6SDj6,0.428,0.356,7,-11.524,1,0.0362,0.891,0,0.115,0.431,96.798,288400,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',,,,,
告别娑婆,陈奕迅,Eason Chan,告别娑婆,,兴奋,4UHHIpTL45mY55Ah7tuyc3,0.238,0.406,6,-9.09,0,0.0361,0.664,0,0.355,0.229,77.424,260787,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Brooding',b'Evocative / Intriguing',b'Medium Tempo',b'Medium',b'80s'
斯德哥尔摩情人,陈奕迅,Eason Chan,斯德哥尔摩情人,陈奕迅,怀旧/感动,2vAJ80pBNiBP92GGeD57fV,0.604,0.848,9,-6.731,0,0.0423,0.505,0,0.196,0.355,143.995,252840,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Gritty',b'Strumming Yearning',b'Medium Tempo',b'Medium',b'70s'
任我行,陈奕迅,Eason Chan,任我行,陈奕迅,怀旧,3tQZiwKZL6xduOGDOpkfZ4,0.548,0.379,5,-11.845,1,0.032,0.773,3.67e-05,0.133,0.469,130.397,278640,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Sentimental',b'Tender / Sincere',b'Medium Tempo',b'Medium',b'60s'
远在咫尺,陈奕迅,Eason Chan,远在咫尺,陈奕迅,感动/治愈/浪漫,0Dpw1SO9QFfCvW5NLdGB2s,0.612,0.33,1,-9.293,1,0.0342,0.9,0,0.106,0.34,128.099,258467,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Sophisticated',b'Smoky / Romantic',b'Medium Tempo',b'Medium Slow',b'60s'
失忆蝴蝶,陈奕迅,Eason Chan,失忆蝴蝶,陈奕迅,伤感/怀旧,60MOpf5N3dFDIyC1hfO7jS,0.304,0.386,11,-9.643,0,0.0368,0.863,4.21e-06,0.0882,0.253,133.547,237613,3,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',,,,,
床头床尾,陈奕迅,Eason Chan,床头床尾,陈奕迅,兴奋,3GXrjbD8XEOcYSTmSw5WoO,0.45,0.236,9,-13.908,1,0.0268,0.818,0.000435,0.0888,0.401,83.852,244947,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',,,,,
阿猫阿狗,陈奕迅,Eason Chan,阿猫阿狗,陈奕迅,兴奋/怀旧,7KeN1r36D2h1tfNdFhQ5vK,0.489,0.533,3,-9.247,0,0.0267,0.253,0,0.136,0.299,172.084,229053,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Powerful / Heroic',b'Medium Tempo',b'Medium',b'80s'
在你身边,陈奕迅,Eason Chan,在你身边,陈奕迅,伤感,2VmTHwN6hBDpfvNahRzyL8,0.498,0.527,7,-7.781,1,0.032,0.0385,0,0.0909,0.221,140.117,253893,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Brooding',b'Evocative / Intriguing',b'Medium Tempo',b'Medium',b'70s'
这样的一个麻烦,陈奕迅,Eason Chan,这样的一个麻烦,陈奕迅,兴奋/清新,6xdufcov2KXJtlnu0LmZzd,0.454,0.802,5,-5.922,1,0.0376,0.0932,0,0.114,0.179,141.965,237867,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Rowdy',b'Ramshackle / Rollicking',b'Fast Tempo',b'Fast',b'140s'
多少,陈奕迅,Eason Chan,多少,陈奕迅,伤感/治愈,3UqmqLyAuUdguUcDMDooH0,0.617,0.494,9,-6.713,1,0.0292,0.385,0,0.0931,0.354,126.02,296787,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Strong / Stable',b'Medium Tempo',b'Medium Slow',b'60s'
Nothing Ever Happened,陈奕迅,Eason Chan,Nothing Ever Happened,陈奕迅,伤感,1Iho36xZ7IuhY2s6femr67,0.64,0.325,5,-12.042,1,0.0322,0.347,0.0069,0.137,0.315,133.864,196333,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Very Slow',b'30s'
你为什么哭了呢,陈奕迅,Eason Chan,你为什么哭了呢,陈奕迅,孤独,0203SkbljlO3pwgmYBdVIh,0.648,0.807,1,-6.089,0,0.038,0.321,0,0.0951,0.764,140.005,289387,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Upbeat',b'Carefree Pop',b'Fast Tempo',b'Fast',b'140s'
谋情害命,陈奕迅,Eason Chan,,,,30tgW7JWDKkQpPe7WH40lE,0.61,0.619,7,-8.09,0,0.0491,0.629,0,0.143,0.755,144.019,217893,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Romantic',b'Heartfelt Passion',b'Medium Tempo',b'Medium',b'70s'
我甲你,陈奕迅,Eason Chan,我甲你,陈奕迅,清新,6aDi8LGxbP1160PFgwl7i2,0.522,0.593,0,-5.937,1,0.0281,0.208,0,0.106,0.27,121.066,207707,3,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Strong / Stable',b'Medium Tempo',b'Medium Slow',b'60s'
心的距离,陈奕迅,Eason Chan,心的距离,陈奕迅,伤感,2uXakoaDP373cKqLDLmbNT,0.516,0.629,4,-6.454,1,0.036,0.698,0,0.106,0.313,140.008,321773,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Strong / Stable',b'Medium Tempo',b'Medium',b'70s'
床头灯,陈奕迅,Eason Chan,,,,2ZWYSbAUY5wdaQTSzS4mwR,0.523,0.701,1,-8.245,1,0.0701,0.128,0,0.13,0.599,146.007,287893,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Romantic',b'Heartfelt Passion',b'Medium Tempo',b'Medium',b'70s'
给你,陈奕迅,Eason Chan,给你,陈奕迅,感动,5zEzslLNS7WbDasvNZOQPI,0.432,0.398,7,-7.238,1,0.038,0.334,0,0.113,0.158,160.336,316200,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Powerful / Heroic',b'Medium Tempo',b'Medium',b'80s'
从何说起,陈奕迅,Eason Chan,从何说起,陈奕迅,安静,2Lx18DXxZxI6LaGdXrbcVO,0.382,0.258,4,-11.698,1,0.0304,0.609,8.14e-06,0.0976,0.142,156.07,260427,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Very Slow',b'30s'
打回原形,陈奕迅,Eason Chan,打回原形,陈奕迅,伤感/感动,5Bt5shryjVx2wWdCJi9j2k,0.483,0.462,4,-7.247,1,0.0273,0.264,0,0.117,0.263,115.326,250934,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Very Slow',b'30s'
Lonely Christmas,陈奕迅,Eason Chan,Lonely Christmas,卫诗,怀旧/放松/治愈,4dtVpOodYG9mSAeVoahdzw,0.495,0.401,0,-7.457,1,0.0371,0.787,0,0.106,0.255,116.984,280211,3,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'70s'
1874,陈奕迅,Eason Chan,1874(Live),陈奕迅,伤感/感动,1wKaeEKktGYkjCTl9FcAxC,0.322,0.375,3,-9.098,0,0.0334,0.571,0,0.301,0.419,171.932,230191,3,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Sentimental',b'Lyrical Sentimental',b'Slow Tempo',b'Slow',b'40s'
绵绵,陈奕迅,Eason Chan,绵绵,谢安琪,伤感/怀旧,4Wg5LncTSwZWCsm5jlQ45m,0.47,0.276,7,-9.669,1,0.0338,0.877,0,0.111,0.292,151.959,244066,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Sentimental',b'Tender / Sincere',b'Slow Tempo',b'Very Slow',b'30s'
低等动物,陈奕迅,Eason Chan,低等动物,陈奕迅,性感/放松,3QZAGe12uMYRiNtM5BEkjM,0.515,0.735,11,-6.955,0,0.03,0.222,6.53e-05,0.287,0.544,159.996,258358,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Brooding',b'Dreamy Brooding',b'Medium Tempo',b'Medium',b'80s'
他一个人,陈奕迅,Eason Chan,他一个人,大宽,治愈,7rY19g8zZF4XSmalZ8JjTO,0.491,0.56,4,-5.661,1,0.0394,0.744,0,0.106,0.36,166.032,264532,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Slow',b'40s'
活着多好,陈奕迅,Eason Chan,活着多好,陈奕迅,感动,3cP1IFicRKSaBPutCyQ3QU,0.419,0.143,5,-12.115,1,0.0357,0.951,0,0.108,0.219,75.842,263630,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Yearning',b'Sensitive / Exploring',b'Medium Tempo',b'Medium',b'70s'
一切还好,陈奕迅,Eason Chan,一切还好,,,4qgqTTDFHmuOPFp6ZWgi5v,0.643,0.698,1,-6.486,1,0.0325,0.624,0,0.0963,0.292,125.063,298319,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium Slow',b'60s'
随意门,陈奕迅,Eason Chan,,,,1xZFDvuZN2np3pHSx4WsTP,0.778,0.977,10,-4.71,1,0.039,0.00316,0.113,0.101,0.922,130.021,246633,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Excited',b'Euphoric Energy',b'Fast Tempo',b'Fast',b'130s'
坏情人,陈奕迅,Eason Chan,,,,5wQnJofYnLSPc23PCaNtus,0.592,0.982,1,-5.022,1,0.0442,0.00568,3.76e-05,0.328,0.886,116.004,203880,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Urgent',b'Dark Pop Intensity',b'Medium Tempo',b'Medium Fast',b'110s'
第一类接触,陈奕迅,Eason Chan,,,,233CnAs6IfVva6kI5qg2rt,0.647,0.907,5,-3.542,1,0.0737,0.0708,0,0.274,0.768,146.144,178644,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Rowdy',b'Ramshackle / Rollicking',b'Fast Tempo',b'Fast',b'140s'
King Kong,陈奕迅,Eason Chan,King Kong,Ace Hood/Bruno Mali,兴奋,03zhojgIh63UQXigAjZrPT,0.71,0.9,2,-3.415,1,0.0474,0.0195,0,0.181,0.914,129.981,203620,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Rowdy',b'Driving Dark Groove',b'Fast Tempo',b'Fast',b'130s'
给爱丽丝,陈奕迅,Eason Chan,,,,19PWHitIsWunDInxkyVn1a,0.653,0.875,8,-4.525,0,0.0354,0.132,2.12e-06,0.112,0.737,132.505,210904,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Fiery',b'Fiery Groove',b'Fast Tempo',b'Fast',b'130s'
孤独探戈,陈奕迅,Eason Chan,,,,38pdAyi8snN67zW8LODATQ,0.524,0.443,11,-9.076,0,0.0334,0.806,3.49e-06,0.304,0.581,128.553,206256,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Sophisticated',b'Smoky / Romantic',b'Medium Tempo',b'Medium Slow',b'60s'
阿士匹灵,陈奕迅,Eason Chan,,,,0urWPLin75wsTnWxIy8Eti,0.689,0.594,6,-6.592,1,0.0365,0.0309,1.65e-06,0.106,0.529,115.009,227277,4,b'Asia',b'China',b'Male',b'Male Duo',b'2000s',b'Traditional',b'Country',b'Contemporary Country',b'Rowdy',b'Driving Dark Groove',b'Medium Tempo',b'Medium Fast',b'110s'
人工智能,陈奕迅,Eason Chan,人工智能,陈奕迅,性感,0r6YIAhGkgwl2OgxHptbn9,0.547,0.74,0,-6.996,1,0.0407,0.467,0.000133,0.286,0.789,90.002,222282,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Sensual',b'Soft Soulful',b'Slow Tempo',b'Slow',b'40s'
冲口而出,陈奕迅,Eason Chan,,,,0qhcwuUUSrcO2NoB8pE2vZ,0.427,0.78,4,-5.381,0,0.215,0.083,0,0.107,0.681,180.104,213124,3,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Energizing',b'Edgy / Sexy',b'Medium Tempo',b'Medium Slow',b'60s'
猜情寻,陈奕迅,Eason Chan,猜情寻,陈奕迅,怀旧,27z4TLUIEW4rqci1kbJQal,0.609,0.41,5,-6.431,1,0.0282,0.772,2.44e-06,0.112,0.158,130.112,246841,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Gritty',b'Sober / Determined',b'Medium Tempo',b'Medium',b'60s'
呀边个边个,陈奕迅,Eason Chan,,,,6bTKpIx1uqGHiybB08nKS0,0.781,0.852,7,-4.127,1,0.0526,0.116,0,0.313,0.891,102.053,185998,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Rowdy',b'Ramshackle / Rollicking',b'Medium Tempo',b'Medium Fast',b'100s'
阿怪,陈奕迅,Eason Chan,,,,2EDqEdMNSQaqknQSCCl2ax,0.57,0.631,0,-5.461,1,0.037,0.217,0,0.116,0.499,143.995,312124,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Upbeat',b'Happy / Soulful',b'Fast Tempo',b'Fast',b'140s'
没有手机的日子,陈奕迅,Eason Chan,,,,2lMg6sz5uRxfLdRFvQ07l0,0.632,0.778,2,-4.618,1,0.128,0.258,0.00228,0.0759,0.743,176.012,268348,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Yearning',b'Energetic Yearning',b'Medium Tempo',b'Medium',b'80s'
圣诞结,陈奕迅,Eason Chan,,,,2ZaffQmZ8GkzpWOoXg7x3j,0.724,0.376,0,-7.851,1,0.0381,0.852,0,0.12,0.227,117.031,281321,3,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'70s'
人造卫星,陈奕迅,Eason Chan,人造卫星,陈奕迅,性感,6AhP1XM4XgzQrFaUBElFxT,0.647,0.591,8,-4.244,0,0.0277,0.0427,0,0.268,0.618,135.957,239349,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Powerful / Heroic',b'Medium Tempo',b'Medium',b'60s'
狂人日记,陈奕迅,Eason Chan,,,,4Ii8deomjkRiVM1ZaB85pO,0.542,0.456,9,-7.317,1,0.0322,0.401,3.95e-05,0.0861,0.526,131.87,262173,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Brooding',b'Alienated / Brooding',b'Fast Tempo',b'Fast',b'130s'
寂寞让你更快乐,陈奕迅,Eason Chan,寂寞让你更快乐,陈奕迅,伤感,520ETgCvBmXRL6Sq5zjJsK,0.5,0.474,4,-7.177,1,0.0286,0.542,0,0.103,0.346,115.318,252808,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium Slow',b'50s'
Because You're Good To Me,陈奕迅,Eason Chan,,,,5DMv5ySyh9Q084f8R4GpRg,0.752,0.876,7,-5.73,0,0.0475,0.459,0,0.45,0.873,112.032,218952,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Fiery',b'Fiery Groove',b'Medium Tempo',b'Medium Fast',b'110s'
像一句广告,陈奕迅,Eason Chan,,,,0inLaDO3VJCZ06IlOPyAkS,0.686,0.958,6,-3.821,0,0.109,0.111,0,0.0678,0.872,145.013,240800,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Rowdy',b'Ramshackle / Rollicking',b'Fast Tempo',b'Fast',b'140s'
步步,五月天,Mayday,【翻唱】步步-五月天,西轰Eight,伤感/感动,1JWavf3k1hZZFCvlAkaE1o,0.373,0.648,0,-5.895,1,0.0283,0.00727,0,0.074,0.293,140.017,273947,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',,,,,
拥抱,五月天,Mayday,拥抱,五月天,怀旧/感动,5HYBtE4U1oBmak8WoItiqJ,0.469,0.426,0,-8.448,1,0.0284,0.469,0,0.106,0.296,119.945,286827,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Heartfelt Passion',b'Medium Tempo',b'Medium Slow',b'60s'
伤心的人别听慢歌,五月天,Mayday,,,,30JvxpDThn5DR1tK2An0vB,0.639,0.869,9,-4.978,0,0.056,0.00124,0,0.25,0.856,135.102,213773,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',,,,,,,,
洋葱,五月天,Mayday,洋葱,杨宗纬,伤感/孤独,6NMhHiixIYW0WLLcMZQvtJ,0.503,0.533,0,-6.962,1,0.0284,0.269,0,0.139,0.218,129.881,275680,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',,,,,
干杯,五月天,Mayday,,,,53bRvqxTqjRa4gja8YmMow,0.578,0.803,0,-5.646,1,0.0285,0.028,0,0.101,0.808,82.02,285720,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Yearning',b'Sensitive / Exploring',b'Medium Tempo',b'Medium',b'80s'
入阵曲,五月天,Mayday,,,,5GGbF5o8qQKcTrgSoait32,0.521,0.963,6,-4.015,0,0.0705,0.00271,0,0.106,0.541,120.024,207400,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',,,,,
倔强,五月天,Mayday,倔强,五月天,怀旧,7B9o8Ozn6WxhIzkHWJMmeX,0.49,0.676,9,-6.369,1,0.0344,0.00743,1.19e-05,0.268,0.659,155.912,260667,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Brooding',b'Dreamy Brooding',b'Slow Tempo',b'Very Slow',b'30s'
突然好想你,五月天,Mayday,突然好想你,徐佳莹,伤感/治愈,09aQPq0dXKtpajhStDYDgS,0.476,0.457,2,-6.543,1,0.0272,0.277,1.2e-05,0.22,0.377,139.917,262133,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'70s'
恋爱ing,五月天,Mayday,恋爱ing,五月天,怀旧/放松,4xvBYQrUi8yXqPUtmKIKRp,0.679,0.55,0,-5.901,1,0.0273,0.0358,0,0.189,0.793,98.508,167973,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Defiant',b'Hard Positive Excitement',b'Medium Tempo',b'Medium Fast',b'90s'
离开地球表面,五月天,Mayday,离开地球表面,五月天,怀旧,5UQDWoK23EUifF5uoWHyWY,0.549,0.922,11,-3.938,0,0.133,0.00467,0,0.409,0.726,138.118,271493,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Defiant',b'Hard Dark Excitement',b'Fast Tempo',b'Fast',b'130s'
星空,五月天,Mayday,,,,3V7uVhoAbm4eowTuoS7oM6,0.416,0.56,5,-6.803,1,0.0278,0.157,0,0.0986,0.179,167.949,278920,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Yearning',b'Sensitive / Exploring',b'Medium Tempo',b'Medium',b'80s'
我不愿让你一个人,五月天,Mayday,我不愿让你一个人,五月天,伤感,4wpsFzGcDVKnF2YBeJlawm,0.473,0.509,7,-7.526,1,0.0258,0.449,0,0.413,0.355,143.978,265147,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',,,,,
人生海海,五月天,Mayday,人生海海,五月天,怀旧/感动,1Ed5pMGdp0HKSYo2ySII2K,0.515,0.868,9,-4.713,1,0.0337,0.0192,0,0.181,0.711,90.05,277613,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Brooding',b'Energetic Melancholy',b'Medium Tempo',b'Medium Fast',b'90s'
知足,五月天,Mayday,知足,五月天,伤感,1Wuv7eOjQfD80D23i9qAN5,0.487,0.562,4,-6.206,1,0.0315,0.157,0,0.175,0.361,152.08,313253,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Powerful / Heroic',b'Medium Tempo',b'Medium',b'70s'
温柔,五月天,Mayday,温柔,五月天,怀旧/浪漫,5WDvjQh2wihrP9OyFj9FAw,0.344,0.433,7,-7.004,1,0.0319,0.0794,0,0.178,0.334,135.69,427658,4,b'Asia',b'Taiwan',b'Male',b'Male Group',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Yearning',b'Bittersweet Pop',b'Medium Tempo',b'Medium',b'70s'
